PC1,PC2,PC3,fishing_ind_sum
-1.9242806,-3.6901621,2.4768107,398
0.5580213,-1.2326675,-1.3152217,0
1.6484522,0.9207833,0.9570898,0
1.6484522,0.9207833,0.9570898,0
1.6484522,0.9207833,0.9570898,0
1.6484522,0.9207833,0.9570898,0
0.4206738,-0.8474015,-0.5121922,398
0.4206738,-0.8474015,-0.5121922,398
0.4206738,-0.8474015,-0.5121922,398
1.5962896,0.8988142,0.2112992,356
1.4195217,0.7988403,0.1629379,356
0.5484575,-0.3579878,-0.4925126,398
1.665254,0.991302,0.1276069,3480
-0.1121485,-1.0424588,-0.3637642,398
0.5484575,-0.3579878,-0.4925126,398
0.7153948,-1.4755195,-1.6242605,0
-5.7724961,-0.9808033,-0.9855704,0
-0.8975032,4.1517982,-1.0623488,0
-3.5205066,2.093434,0.9369392,0
-3.5205066,2.093434,0.9369392,0
-0.4865681,0.2070461,-1.1976513,0
0.4948935,-0.6485154,-0.9441686,0
0.4159448,-1.2947476,0.6668475,0
0.4159448,-1.2947476,0.6668475,0